Title,Price,Year,Mileage,Fuel,Engine,Transmission,Location
Toyota Prado  2021 TX L Package 2.7 for Sale,PKR 3.2crore,2021,"31,000 km",Petrol,2700 cc,Automatic,Rawalpindi
Toyota Vitz  2016 F 1.0 for Sale,PKR 31lacs,2016,"227,390 km",Petrol,1000 cc,Automatic,Lahore
Nissan Dayz  2022 Highway Star S hybrid X pro pilot for Sale,PKR 46lacs,2022,"16,000 km",Hybrid,660 cc,Automatic,Islamabad
Honda N Box  2021 Custom GL for Sale,PKR 35lacs,2021,"97,000 km",Petrol,660 cc,Automatic,Islamabad
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 64.5lacs,2021,"54,000 km",Petrol,1800 cc,Automatic,Islamabad
Honda Civic 11th (FE) Generation 2024 RS for Sale,PKR 87.5lacs,2024,"43,000 km",Petrol,1500 cc,Automatic,Lahore
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 54.5lacs,2018,"112,000 km",Petrol,1800 cc,Automatic,Lahore
Toyota Corolla  2014 XLi VVTi for Sale,PKR 25.9lacs,2014,"180,000 km",Petrol,1300 cc,Manual,Wah Cantt
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 66.5lacs,2022,"20,000 km",Petrol,1800 cc,Automatic,Karachi
Suzuki Hustler  2021 J Style II for Sale,PKR 38.5lacs,2021,"56,786 km",Hybrid,660 cc,Automatic,Karachi
Daihatsu Move  2022 Custom RS SA for Sale,PKR 38lacs,2022,"22,500 km",Petrol,660 cc,Automatic,Lahore
Mercedes Benz E Class 4th (W212) Generation 2004 E200 for Sale,PKR 43.5lacs,2004,"161,822 km",Petrol,1800 cc,Automatic,Islamabad
Nissan Note  2020 e-Power S for Sale,PKR 55lacs,2020,"12,345 km",Hybrid,1200 cc,Automatic,Islamabad
Peugeot 2008  2022 Active for Sale,PKR 50lacs,2022,"29,850 km",Petrol,1200 cc,Automatic,Gujranwala
Suzuki Baleno  2009  for Sale,PKR 16.5lacs,2009,"1,000 km",Petrol,1300 cc,Manual,Lahore
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 39.5lacs,2017,"109,000 km",Petrol,1300 cc,Automatic,Lahore
Toyota Probox  2006 F for Sale,PKR 20.5lacs,2006,"120,000 km",Petrol,1500 cc,Automatic,Islamabad
Hyundai Santro  2004 Club for Sale,PKR 10.6lacs,2004,"130,000 km",Petrol,1000 cc,Manual,Lahore
Suzuki Cultus  2006 VXR for Sale,PKR 9.65lacs,2006,1 km,Petrol,1000 cc,Manual,Karachi
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 29.5lacs,2011,"180,000 km",Petrol,1300 cc,Manual,Kharian
Toyota Corolla  2011 XLi VVTi Limited Edition for Sale,PKR 25.5lacs,2011,"282,000 km",Petrol,1300 cc,Manual,Rawalpindi
KIA Sportage  2023 AWD for Sale,PKR 75lacs,2023,"55,000 km",Petrol,2000 cc,Automatic,Islamabad
KIA Sportage  2022 FWD for Sale,PKR 61.8lacs,2022,"103,000 km",Petrol,2000 cc,Automatic,Faisalabad
Nissan Clipper  2012 E for Sale,PKR 15lacs,2012,"130,000 km",Petrol,660 cc,Automatic,Lahore
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 64lacs,2021,"41,000 km",Petrol,1800 cc,Automatic,Karachi
Honda N Wgn  2018 Custom G for Sale,PKR 33lacs,2018,"85,000 km",Petrol,660 cc,Automatic,Gujranwala
Suzuki Alto  2015  for Sale,PKR 28.5lacs,2015,"80,000 km",Petrol,660 cc,Automatic,Rawalpindi
Suzuki Cultus  2024 VXL for Sale,PKR 38lacs,2024,"36,000 km",Petrol,1000 cc,Manual,Karachi
Toyota Corolla 9th (E120) Generation 2005 2.0D Saloon for Sale,PKR 22lacs,2005,19 km,Diesel,2000 cc,Manual,Khanpur
KIA Sorento  2021 3.5 FWD for Sale,PKR 68.15lacs,2021,"84,000 km",Petrol,3500 cc,Automatic,Lahore
Suzuki Wagon R  2013 FX Limited for Sale,PKR 24.3lacs,2013,"119,804 km",Petrol,660 cc,Automatic,Lahore
